0
9,364850808669713E-17
-9,36485080866967E-17
-2,3286021692740917E-16
3,902900183061554E-17
-4,213860569776402E-16
1,6578205602642565E-15
1,4834045878271192E-31
-1,5339977098866727E-16
-5,832478317526819E-16
-3,9029001830616846E-17
-4,213860569776394E-16
1,6578205602642553E-15
-9,364850808669666E-17
-9,364850808669659E-17
-2,328602169274082E-16
4,2138605697763973E-16
-3,9029001830617635E-17
1,657820560264257E-15
1,2749864328107016E-31
-8,858203246784861E-17
2,8493431447714805E-15
-4,213860569776404E-16
-3,902900183061646E-17
1,6578205602642576E-15
1,533997709886685E-16
5,330478556670031E-31
-5,832478317526814E-16
8,858203246784637E-17
-5,861390341818437E-31
2,849343144771487E-15
2,1821169128729575E-31
2,759756497800299E-31
-1,3955037497531572E-15
-8,858203246784647E-17
1,4449429727395205E-30
2,8493431447714856E-15
-1,5339977098866809E-16
3,1928694967380974E-31
-5,832478317526802E-16
4,213860569776426E-16
3,902900183061587E-17
1,6578205602642604E-15
1,1336382555561588E-30
8,858203246784803E-17
2,8493431447714888E-15
-4,213860569776414E-16
3,90290018306168E-17
1,657820560264262E-15
9,364850808669757E-17
9,364850808669761E-17
-2,328602169274074E-16
3,90290018306164E-17
4,213860569776424E-16
1,657820560264262E-15
-5,282016942988033E-31
1,533997709886691E-16
-5,832478317526807E-16
-3,902900183061513E-17
4,213860569776428E-16
1,6578205602642618E-15
-9,364850808669793E-17
9,364850808669722E-17
-2,3286021692740734E-16
0,12025354794622647
-0,1202535479462267
0,24705540852471197
-1,9800935019145586E-16
-0,12052271860143439
0,220211265832559
-0,12025354794622704
-0,1202535479462258
0,24705540852471192
0,12052271860143465
2,7320074392524654E-17
0,22021126583256048
1,2320219965075681E-16
3,728842012089675E-16
0,19210285058441512
-0,12052271860143444
7,069090333924074E-16
0,22021126583256007
0,1202535479462275
0,12025354794622733
0,2470554085247131
3,53721806128998E-16
0,1205227186014354
0,22021126583256032
-0,12025354794622693
0,12025354794622742
0,2470554085247135
0,14315353994568922
-0,1431535399456894
0,48680665836611947
0,06916852524218838
-0,14654084084108387
0,4716701996536982
-2,714521433106126E-16
-0,1515579943115318
0,47151189969566737
-0,06916852524218911
-0,1465408408410829
0,4716701996536982
-0,1431535399456902
-0,14315353994568725
0,4868066583661192
0,1465408408410844
-0,06916852524218879
0,4716701996536995
5,1597220657461415E-17
-0,07203770357539317
0,455514547095924
-0,14654084084108412
-0,06916852524218667
0,4716701996536988
0,15155799431153302
4,52982745603583E-16
0,4715118996956705
0,07203770357539457
8,685343254067997E-16
0,45551454709592465
4,571467909523751E-16
1,0194836279563078E-15
0,4551704020274308
-0,07203770357539377
1,5801075665903876E-15
0,4555145470959245
-0,1515579943115325
2,0327012561190014E-15
0,4715118996956694
0,146540840841085
0,06916852524218968
0,47167019965370055
4,2626893034675403E-16
0,07203770357539532
0,45551454709592504
-0,14654084084108407
0,06916852524219075
0,47167019965369955
0,14315353994569088
0,14315353994569055
0,4868066583661214
0,06916852524218974
0,14654084084108562
0,47167019965370033
6,319993850998763E-16
0,15155799431153413
0,4715118996956696
-0,06916852524218853
0,1465408408410862
0,47167019965370066
-0,14315353994568958
0,14315353994569163
0,486806658366122
0,1506908704504148
-0,1506908704504141
0,727209786879036
-4,45517738854512E-16
-0,15268489692407572
0,7146211456837791
-0,15069087045041504
-0,15069087045041224
0,7272097868790376
0,15268489692407927
1,7134598193394472E-15
0,7146211456837849
7,678363328089422E-16
2,122359388670889E-15
0,7033216673123305
-0,1526848969240777
2,86417632882097E-15
0,7146211456837812
0,1506908704504165
0,1506908704504171
0,7272097868790391
8,667792117728429E-16
0,15268489692408072
0,7146211456837839
-0,1506908704504147
0,15069087045041699
0,7272097868790377
0,15347654744431682
-0,15347654744431324
0,9690842058499876
0,07895296056889037
-0,15328278486491245
0,9651712793042366
-7,771209422646793E-16
-0,15121763813937877
0,959369678794539
-0,07895296056889138
-0,15328278486491265
0,965171279304237
-0,15347654744431813
-0,15347654744431394
0,9690842058499907
0,15328278486491786
-0,07895296056888751
0,9651712793042404
5,560558716745948E-16
-0,07854519871021155
0,9578013352871909
-0,15328278486491634
-0,07895296056888715
0,9651712793042381
0,1512176381393865
2,3042718918865454E-15
0,9593696787945478
0,07854519871021708
2,643923154030794E-15
0,957801335287193
1,3514259073557007E-15
3,3888127142403962E-15
0,9520017006734337
-0,07854519871021336
2,8637073907807792E-15
0,9578013352871916
-0,15121763813938072
3,014515232185031E-15
0,9593696787945412
0,15328278486491811
0,0789529605688932
0,9651712793042405
1,480130884217322E-15
0,07854519871021917
0,9578013352871931
-0,15328278486491348
0,07895296056889296
0,9651712793042372
0,15347654744431746
0,1534765474443202
0,969084205849991
0,07895296056889152
0,15328278486491997
0,9651712793042421
8,785111688318016E-16
0,15121763813938835
0,959369678794547
-0,07895296056888901
0,15328278486491997
0,9651712793042405
-0,15347654744431424
0,15347654744431846
0,9690842058499869
